word_id,status,total_frames,hierarchy_valid,continuity_valid,kinematic_limits_respected,hand_orientation_valid,neutral_pose_aligned,clamped_events_count,clamped_frames_pct,ghost_flips_detected,joints_clamped,glb_size_mb,notes
explain,NEEDS_REVIEW,60,True,True,False,True,True,85,65.0,0,LeftArm; LeftForeArm_SigningSpace; LeftHandIndex1; LeftHandMiddle1; LeftHandPinky1; LeftHandPinky3; LeftHandRing1; LeftHandRing3; RightArm; RightForeArm_SigningSpace; RightHandIndex2; RightHandIndex3; RightHandMiddle2; RightHandMiddle3; RightHandPinky1; RightHandRing1,4.12,"High joint clamping (65.0% frames on: LeftArm, LeftForeArm_SigningSpace, LeftHandIndex1, LeftHandMiddle1)."
finish,NEEDS_REVIEW,60,True,True,False,True,True,103,98.3,7,LeftForeArm_SigningSpace; LeftHandPinky1; LeftHandRing1; LeftHand_PalmNormalFlip; RightHandIndex1; RightHandIndex2; RightHandMiddle1; RightHandMiddle2; RightHandPinky1; RightHandPinky2; RightHandPinky3; RightHandRing1; RightHandRing2; RightHand_PalmNormalFlip,4.12,"High joint clamping (98.3% frames on: LeftForeArm_SigningSpace, LeftHandPinky1, LeftHandRing1, LeftHand_PalmNormalFlip).; Corrected 2 ghost flips on Right Hand.; Corrected 5 ghost flips on Left Hand."
pen_sign_2,NEEDS_REVIEW,60,True,True,False,True,True,235,95.0,0,LeftArm; LeftForeArm_ElbowFlexion; LeftForeArm_SigningSpace; LeftHandIndex2; LeftHandIndex3; LeftHandMiddle2; LeftHandMiddle3; LeftHandPinky2; LeftHandRing2; RightArm; RightHandIndex2; RightHandIndex3; RightHandMiddle1; RightHandMiddle2; RightHandMiddle3; RightHandPinky1; RightHandPinky2; RightHandRing1; RightHandRing2,4.12,"High joint clamping (95.0% frames on: LeftArm, LeftForeArm_ElbowFlexion, LeftForeArm_SigningSpace, LeftHandIndex2)."
pencil_sign_4,NEEDS_REVIEW,60,True,True,False,True,True,263,93.3,3,LeftArm; LeftForeArm_SigningSpace; LeftHandIndex1; LeftHandMiddle1; LeftHandMiddle2; LeftHandPinky1; LeftHandPinky2; LeftHandRing1; LeftHandRing2; LeftHand_PalmNormalFlip; RightArm; RightForeArm_SigningSpace; RightHandIndex1; RightHandIndex2; RightHandIndex3; RightHandMiddle1; RightHandMiddle2; RightHandMiddle3; RightHandPinky1; RightHandPinky2; RightHandPinky3; RightHandRing1; RightHandRing2; RightHandRing3,4.12,"High joint clamping (93.3% frames on: LeftArm, LeftForeArm_SigningSpace, LeftHandIndex1, LeftHandMiddle1).; Corrected 3 ghost flips on Left Hand."
quiet,NEEDS_REVIEW,60,True,True,False,True,True,210,100.0,1,LeftArm; LeftForeArm_SigningSpace; RightArm; RightHandMiddle1; RightHandMiddle2; RightHandPinky1; RightHandPinky2; RightHandPinky3; RightHandRing2; RightHandRing3; RightHandThumb3; RightHand_PalmNormalFlip,4.12,"High joint clamping (100.0% frames on: LeftArm, LeftForeArm_SigningSpace, RightArm, RightHandMiddle1).; Corrected 1 ghost flips on Right Hand."
sign_test,NEEDS_REVIEW,78,True,True,False,True,True,198,100.0,0,LeftArm; LeftForeArm_SigningSpace; LeftHandMiddle2; LeftHandPinky2; LeftHandRing2; RightArm; RightHandIndex2; RightHandIndex3; RightHandMiddle2; RightHandMiddle3; RightHandPinky1; RightHandPinky2; RightHandRing2,4.13,"High joint clamping (100.0% frames on: LeftArm, LeftForeArm_SigningSpace, LeftHandMiddle2, LeftHandPinky2)."
student,NEEDS_REVIEW,60,True,True,False,True,True,295,100.0,0,LeftArm; LeftForeArm_SigningSpace; LeftHandMiddle3; LeftHandPinky2; LeftHandRing2,4.12,"High joint clamping (100.0% frames on: LeftArm, LeftForeArm_SigningSpace, LeftHandMiddle3, LeftHandPinky2)."
study,NEEDS_REVIEW,60,True,True,False,True,True,113,96.7,1,LeftArm; LeftForeArm_SigningSpace; RightArm; RightHandMiddle3; RightHand_PalmNormalFlip,4.12,"High joint clamping (96.7% frames on: LeftArm, LeftForeArm_SigningSpace, RightArm, RightHandMiddle3).; Corrected 1 ghost flips on Right Hand."
teacher,NEEDS_REVIEW,60,True,True,False,True,True,292,95.0,0,LeftArm; LeftForeArm_SigningSpace; LeftHandIndex2; LeftHandMiddle1; LeftHandMiddle2; LeftHandMiddle3; LeftHandPinky1; LeftHandPinky2; LeftHandPinky3; LeftHandRing2; LeftHandRing3; RightArm; RightHandIndex2; RightHandIndex3; RightHandMiddle2; RightHandPinky1; RightHandPinky2; RightHandRing2,4.12,"High joint clamping (95.0% frames on: LeftArm, LeftForeArm_SigningSpace, LeftHandIndex2, LeftHandMiddle1)."
test_vid1,NEEDS_REVIEW,543,True,True,False,True,True,1448,94.8,19,LeftArm; LeftForeArm_SigningSpace; LeftHandIndex1; LeftHandIndex2; LeftHandMiddle1; LeftHandMiddle2; LeftHandMiddle3; LeftHandPinky1; LeftHandPinky2; LeftHandPinky3; LeftHandRing1; LeftHandRing2; LeftHandRing3; LeftHandThumb1; LeftHand_PalmNormalFlip; RightArm; RightForeArm_ElbowFlexion; RightHandIndex1; RightHandIndex2; RightHandIndex3; RightHandMiddle1; RightHandMiddle2; RightHandMiddle3; RightHandPinky1; RightHandPinky2; RightHandPinky3; RightHandRing1; RightHandRing2; RightHandRing3; RightHand_PalmNormalFlip,4.39,"High joint clamping (94.8% frames on: LeftArm, LeftForeArm_SigningSpace, LeftHandIndex1, LeftHandIndex2).; Corrected 4 ghost flips on Right Hand.; Corrected 15 ghost flips on Left Hand."
